#  Object          RA           Dec   
#----------   ------------ -------------
AA1pan       02 29 26.0870 -09 15 35.944
AA2pan       12 38 31.7860 -07 42 35.378
AA3pan       15 15 36.3387 -14 12 26.859
AA4pan       03 37 44.2886 -31 03 51.932
AA5pan       22 23 38.0688 -34 59 37.343
AA6pan       21 47 27.2549 -37 33 52.813
AA7pan       23 22 34.1044 -28 58 25.469
AA8irx       10 10 23.9324 -07 48 56.335
AA9irx       01 38 13.5286 -09 12 39.761
AA10irx      00 34 17.0038 -34 12 38.631
AA11str      01 20 25.8071 -10 59 01.262
AA12str      21 57 26.3407 -14 06 36.772
AA13str      01 06 50.1082 -10 30 35.089
D3009        22 05 01.1952 +00 31 23.052
D3011        22 47 35.9544 +00 27 17.712
D3012        22 27 41.8128 +00 37 06.276
D30122       22 28 27.2232 +00 57 57.852
D3013        22 47 14.1768 +01 22 26.400
D3014        23 08 34.3416 -01 05 54.564
D3015        23 37 13.6680 +00 56 11.076
D3015b       23 39 46.2504 -01 18 22.320
D3016        23 38 11.5344 +00 20 43.728
D3017        00 17 32.2584 -01 24 06.948
D3018a       21 27 43.3776 -01 34 26.112
D3018b       21 48 10.1880 +01 12 55.872
D3018c       21 10 32.6184 -01 09 29.664
D3019        21 17 21.4920 +00 04 09.444
D3020a       21 39 35.7432 +00 35 47.112
D3020b       21 57 23.8056 +01 01 47.748
