   Target ID       RA           Dec        i(AB mag)   PA (deg, North is 0 and East is +90)
 DESJ0229+0320  02:29:58.21  +03:20:30.2    18.080     -15.0
 DESJ0240-0208  02:40:18.40  -02:08:50.3    18.100     -25.0
 DESJ2057+0006  20:57:52.47  +00:06:35.3    18.438     +7.0 
 DESJ2337+0056  23:37:13.66  +00:56:10.8    18.530     +7.0
 DESJ0034-3412  00:34:17.00  -34:12:38.6    18.646     -25.0
 DESJ2322-2858  23:22:34.10  -28:58:25.6    18.903     +20.0
 DESJ0017-0124  00:17:32.27  -01:24:07.1    19.200     +88.0 
 DESJ0138-0912  01:38:13.53  -09:12:39.8    19.537     +15.0
 DESJ2205+0031  22:05:01.19  +00:31:22.9    19.639     +85.0
 DESJ2157-1406  21:57:26.34  -14:06:36.8    19.686     -15.0
 DESJ2247+0027  22:47:35.86  +00:27:17.5    20.382     +88.0
 DESJ0050+0010  00:50:40.58  +00:10:30.5    20.544     -15.0
 DESJ2236+0019  22:36:32.84  +00:19:40.7    20.807     -30.0 
