#obj  aper   z   type   ymax  smo
S0011  all  1.70  em    0.35   9
D0053  all  1.32  em    0.3    5
S0123  A    2.18  em    0.7    7
S0123  B    2.18  em    0.6    1
S0141  A    1.35  em    0.35   9
S0141  B    0.279 em    0.5   21
D0230  all  2.01  em    0.3    7
D0240  all  1.69  em    0.4    3
S0248  A    2.43  em    0.6   11
S0248  lens 0.498 em    2.8   11
S0248  G2   0.497 em    2.8   11
D0253  all  0.179 em    2.6    1
D0402  all  0.217 em    4.5    3
D0440  all  0.660 em    0.35   9
D0509  all  2.08  em    0.5    9
S0739  A    1.70  em    0.45   5
S0739  B    0.0   abs   0.35  11
S0748  all  1.101 em    0.35   1
S0806  A    0.0   abs   0.3    7
S0806  B    1.02  em    0.3    5
S0808  A    0.0   abs   0.3    7
S0808  B    1.17  em    0.4    7
S0821  all  2.27  em    0.4    1
S0836  A    1.71  em    0.38   1
S0836  B    0.656 em    0.4   15
S0841  A    1.84  em    0.35   5
S0841  B    0.0   abs   0.35   7
S0852  all  2.16  em    0.4    9
S0907  A    1.85  em    0.8    7
S0907  B    0.422 abs   0.8   15
S0940  A    0.092 em    6.0    1
S0940  B    0.092 em    5.5    1
S0941  A    1.54  em    0.4    7
S0941  B    1.54  em    0.4   11
S0941  G    0.345 abs   1.5   15
#S1010  all
A1044  all  0.301 em    1.5    9
S2211  A    1.07  em    0.4    1
S2211  B    1.07  em    0.4    1
#A2213  all  1.272  0.4    1
S2252  A    0.0   abs   0.3    7
S2252  B    1.45  em    0.3    7
#A2338  all
#S2352  all
#S2356  all  1.494  0.6    9
