target sky_ra_min sky_ra_max sky_dec_min sky_dec_max signal_ra_min signal_ra_max signal_dec_min signal_dec_max TT_ra_min TT_ra_max TT_dec_min TT_dec_max guess_wave guess_amp guess_sigma guess_slope guess_offset bound_wave bound_amp bound_sigma bound_slope bound_offset filter_sigma instrument_disp PSF_pixels scale "stellar mass" channel_low channel_high
a370_02056 18 23 50 59 9 17 48 58 19 30 45 53 1487.0 0.7 0.75 0.0 0.006 1490.0 1.0 1.0 0.1 0.1 1.4 38.90323818237849 4.5522 0.05 8.77124639905 105 113
a370_03097 18 23 50 59 21 35 37 49 23 34 43 52 1670.0 0.7 0.75 0.0 0.006 1671.0 1.0 1.0 0.1 0.1 1.4 38.73738262666875 4.5729 0.1 9.32827216398 88 97
m0717_02064 17 22 50 59 21 28 31 42 14 27 45 53 2013.0 0.7 0.75 0.0 0.006 2014.0 1.0 1.0 0.1 0.1 1.2 47.41891964870514 3.5735 0.1 8.17842499413 230 242
m0744_00920 20 26 50 59 25 40 8 72 14 29 27 39 1490.0 0.7 0.75 0.0 0.006 1493.0 15.0 1.0 0.1 0.1 0.5 50.69087210148318 2.62237 0.1 9.05378949183 120 131
m0744_01203 24 29 50 59 30 43 30 41 28 39 45 56 1740.0 0.7 0.75 0.0 0.006 1740.0 1.5 1.0 0.1 0.1 1.0 30.25190053777353 3.91257 0.05 9.26031291738 89 99
m1149_00593 24 30 20 40 28 40 49 60 17 27 24 35 1629.0 0.7 0.75 0.0 0.006 1630.0 1.5 1.0 0.1 0.1 1.4 37.06318372667738 5.31462 0.1 9.34 168 180
m1149_00683 27 32 38 52 38 46 40 52 32 39 27 37 1758.0 0.7 0.75 0.0 0.006 1759.0 1.5 1.0 0.1 0.1 1.5 34.683335224208285 4.40746 0.1 7.90 180 194
m1149_01058 24 29 50 59 23 33 50 65 15 27 28 39 1475.0 0.7 0.75 0.0 0.006 1478.0 1.5 1.0 0.1 0.1 1.1 37.953710176734035 3.941188 0.05 8.81 46 54
m1149_01802 28 34 50 59 13 26 55 65 22 27 29 36 2075.0 0.7 0.75 0.0 0.006 2080.0 1.0 1.0 0.1 0.008 1.1 38.92307231343197 3.68314 0.05 9.70618463402 153 164
m1423_00248 24 35 45 60 18 27 43 52 18 29 34 47 1586.0 0.7 0.75 0.0 0.006 1588.0 1.5 1.0 0.1 0.1 1.8 46.65120747210387 5.6538 0.1 9.76464863055 260 277
m2129_00478 24 30 45 60 30 34 42 47 27 37 27 37 1749.0 0.7 0.75 0.0 0.006 1750.0 1.5 1.0 0.1 0.1 1.0 34.852301643196945 4.5386 0.1 8.58714696902 135 147
m2129_01408 21 29 39 50 13 24 54 62 23 33 17 27 1629.0 0.7 0.75 0.0 0.006 1630.0 1.0 1.0 0.1 0.1 1.5 32.53091200339579 5.09588 0.05 8.88048705578 174 186
m2129_01833 27 30 32 50 20 29 57 64 22 32 28 38 2161.0 0.75 0.7 0.0 0.006 2162.0 1.0 0.8 0.1 0.1 1.2 37.313828996073326 4.21372 0.05 9.66687540165 155 175
