#     lmwl      nmBband
#
  3.763952   1.000000 
  3.764007   1.000000 
  3.764062   1.000000 
  3.764118   1.000000 
  3.764174   1.000000 
  3.764229   1.000000 
  3.764284   1.000000 
  3.764340   1.000000 
  3.764395   1.000000 
  3.764451   1.000000 
  3.764506   1.000000 
  3.764561   1.000000 
  3.764617   1.000000 
  3.764672   1.000000 
  3.764727   1.000000 
  3.764783   1.000000 
  3.764838   1.000000 
  3.764894   1.000000 
  3.764949   1.000000 
  3.765005   1.000000 
  3.765060   1.000000 
  3.765115   1.000000 
  3.765171   1.000000 
  3.765226   1.000000 
  3.765282   1.000000 
  3.765337   1.000000 
  3.765392   1.000000 
  3.765448   1.000000 
  3.765503   1.000000 
  3.765559   1.000000 
  3.765614   1.000000 
  3.765670   1.000000 
  3.765725   1.000000 
  3.765780   1.000000 
  3.765836   1.000000 
  3.765891   1.000000 
  3.765947   1.000000 
  3.766002   1.000000 
  3.766057   1.000000 
  3.766113   1.000000 
  3.766168   1.000000 
  3.766224   1.000000 
  3.766279   1.000000 
  3.766334   1.000000 
  3.766390   1.000000 
  3.766445   1.000000 
  3.766500   1.000000 
  3.766556   1.000000 
  3.766611   1.000000 
  3.766667   1.000000 
  3.766722   1.000000 
  3.766778   1.000000 
  3.766833   1.000000 
  3.766888   1.000000 
  3.766944   1.000000 
  3.766999   1.000000 
  3.767055   1.000000 
  3.767110   1.000000 
  3.767165   1.000000 
  3.767221   1.000000 
  3.767276   1.000000 
  3.767332   1.000000 
  3.767387   1.000000 
  3.767442   1.000000 
  3.767498   1.000000 
  3.767553   1.000000 
  3.767609   1.000000 
  3.767664   1.000000 
  3.767720   1.000000 
  3.767775   1.000000 
  3.767830   1.000000 
  3.767886   1.000000 
  3.767941   1.000000 
  3.767996   1.000000 
  3.768052   1.000000 
  3.768107   1.000000 
  3.768162   1.000000 
  3.768218   1.000000 
  3.768274   1.000000 
  3.768329   1.000000 
  3.768384   1.000000 
  3.768440   1.000000 
  3.768495   1.000000 
  3.768551   1.000000 
  3.768606   1.000000 
  3.768661   1.000000 
  3.768717   1.000000 
  3.768772   1.000000 
  3.768827   1.000000 
  3.768883   1.000000 
  3.768939   1.000000 
  3.768994   1.000000 
  3.769049   1.000000 
  3.769105   1.000000 
  3.769160   1.000000 
  3.769216   1.000000 
  3.769271   1.000000 
  3.769326   1.000000 
  3.769382   1.000000 
  3.769437   1.000000 
  3.769492   1.000000 
  3.769548   1.000000 
  3.769603   1.000000 
  3.769659   1.000000 
  3.769714   1.000000 
  3.769770   1.000000 
  3.769825   1.000000 
  3.769881   1.000000 
  3.769936   1.000000 
  3.769991   1.000000 
  3.770047   1.000000 
  3.770102   1.000000 
  3.770157   1.000000 
  3.770213   1.000000 
  3.770268   1.000000 
  3.770324   1.000000 
  3.770379   1.000000 
  3.770435   1.000000 
  3.770490   1.000000 
  3.770545   1.000000 
  3.770601   1.000000 
  3.770656   1.000000 
  3.770711   1.000000 
  3.770767   1.000000 
  3.770822   1.000000 
  3.770878   1.000000 
  3.770933   1.000000 
  3.770989   1.000000 
  3.771044   1.000000 
  3.771099   1.000000 
  3.771155   1.000000 
  3.771210   1.000000 
  3.771266   1.000000 
  3.771321   1.000000 
  3.771376   1.000000 
  3.771432   1.000000 
  3.771487   1.000000 
  3.771543   1.000000 
  3.771598   1.000000 
  3.771654   1.000000 
  3.771709   1.000000 
  3.771764   1.000000 
  3.771820   1.000000 
  3.771875   1.000000 
  3.771930   1.000000 
  3.771986   1.000000 
  3.772041   1.000000 
  3.772097   1.000000 
  3.772152   1.000000 
  3.772207   1.000000 
  3.772263   1.000000 
  3.772318   1.000000 
  3.772374   1.000000 
  3.772429   1.000000 
  3.772485   1.000000 
  3.772540   1.000000 
  3.772595   1.000000 
  3.772651   1.000000 
  3.772706   1.000000 
  3.772762   1.000000 
  3.772817   1.000000 
  3.772872   1.000000 
  3.772928   1.000000 
  3.772984   1.000000 
  3.773039   1.000000 
  3.773094   1.000000 
  3.773149   1.000000 
  3.773205   1.000000 
  3.773260   1.000000 
  3.773316   1.000000 
  3.773371   1.000000 
  3.773427   1.000000 
  3.773482   1.000000 
  3.773537   1.000000 
  3.773592   1.000000 
  3.773648   1.000000 
  3.773704   1.000000 
  3.773759   1.000000 
  3.773814   1.000000 
  3.773870   1.000000 
  3.773925   1.000000 
  3.773981   1.000000 
  3.774036   1.000000 
  3.774091   1.000000 
  3.774147   1.000000 
  3.774202   1.000000 
  3.774258   1.000000 
  3.774313   1.000000 
  3.774369   1.000000 
  3.774424   1.000000 
  3.774479   1.000000 
  3.774535   1.000000 
  3.774590   1.000000 
  3.774646   1.000000 
  3.774701   1.000000 
  3.774756   1.000000 
  3.774812   1.000000 
  3.774867   1.000000 
  3.774922   1.000000 
  3.774978   1.000000 
  3.775033   1.000000 
  3.775089   1.000000 
  3.775144   1.000000 
  3.775199   1.000000 
  3.775255   1.000000 
  3.775310   1.000000 
  3.775366   1.000000 
  3.775421   1.000000 
  3.775477   1.000000 
  3.775532   1.000000 
  3.775587   1.000000 
  3.775643   1.000000 
  3.775698   1.000000 
  3.775754   1.000000 
  3.775809   1.000000 
  3.775865   1.000000 
  3.775920   1.000000 
  3.775975   1.000000 
  3.776031   1.000000 
  3.776086   1.000000 
  3.776141   1.000000 
